Twitter Screenname,Political Party
JimGerlach,R
repjimcooper,D
RepGaramendi,D
RepMikeRogers,R
RepMattSalmon,R
RepAlGreen,D
USRepAlexander,R
RepTomRice,R
chelliepingree,D
RepJudyChu,D
RepSpeier,D
RepVisclosky,D
RalphHallPress,R
congbillposey,R
nikiinthehouse,D
RepGusBilirakis,R
RepMarkTakano,D
RepMikeQuigley,D
MarkeyMemo,D
RepBillShuster,R
RepDavid,R
RepTipton,R
dinatitus,D
Rep_Albio_Sires,D
RepBobGibbs,R
USRepMikeDoyle,D
EleanorNorton,D
DarrellIssa,R
repjohnkline,R
cathymcmorris,R
RepKerryB,R
DrPhilRoe,R
RepJeffries,D
repjoecrowley,D
RepDelBene,D
repgregwalden,R
JoAnnEmerson,R
RepDanKildee,D
RepKevinBrady,R
BuckMcKeon,R
ConawayTX11,R
RepRickLarsen,D
RepKayGranger,R
RepLanceNJ7,R
RepDanMaffei,D
RepBrady,D
RepHensarling,R
RepMoBrooks,R
JeffFortenberry,R
RepRoybalAllard,D
RepEdWhitfield,R
RepGoodlatte,R
KenCalvert,R
FrankDLucas,R
RepPittenger,R
NancyPelosi,D
RepPeterDeFazio,D
RepScottPerry,R
jaredpolis,D
Call_Me_Dutch,D
YvetteClarke,D
repdonnaedwards,D
RepRonBarber,D
RobWittman,R
RepLloydDoggett,D
repcleaver,D
MarkPocan,D
RepJoeKennedy,D
RepBera,D
RepVeasey,D
TiberiPress,R
RepMeehan,R
RepHalRogers,R
RepRichardHanna,R
RepSheaPorter,D
RepToddYoung,R
BruceBraley,D
GoCardenas,D
RepLoBiondo,R
NydiaVelazquez,D
RepLouBarletta,R
paultonko,D
RepDianaDeGette,D
ScottPetersSD,D
RepDougCollins,R
RepMikeCoffman,R
RepDeSantis,R
RepJohnCampbell,R
RepSamFarr,D
BachusAL06,R
tammyduckworth,D
LacyClayMO1,D
McCaulPressShop,R
RepPerlmutter,D
TimRyan,D
RepJohnDelaney,D
RepJimCosta,D
RepJoBonner,R
BlumenauerMedia,D
RepKevinCramer,R
RepEBJ,D
RepMikeMichaud,D
BillOwensNY,D
RepCheri,D
RepPeteKing,R
RepChrisGibson,R
RepBoustany,R
CandiceMiller,R
LamarSmithTX21,R
RepTomPrice,R
Tim_Walz,D
RepMcGovern,D
MarkAmodeiNV2,R
SteveDaines,R
SteveKingIA,R
RepLujanGrisham,D
Jim_Jordan,R
RepDonaldPayne,D
RepKirkpatrick,D
JacksonLeeTX18,D
RepGaryPeters,D
ToddRokita,R
farenthold,R
DevinNunes,R
RepThompson,D
RepChrisStewart,R
Raul_Labrador,R
HowardCoble,R
RepWalterJones,R
USRepRickNolan,D
BettyMcCollum04,D
Rep_Adam_Smith,D
RepJerryNadler,D
jahimes,D
RepLankford,R
RepJimMcDermott,D
janschakowsky,D
RepCicilline,D
CongHuelskamp,R
AustinScottGA08,R
RepFilemonVela,D
RepRaulGrijalva,D
RepMikeTurner,R
CongPalazzo,R
Jim_Moran,D
RepHartzler,R
RepAndyHarrisMD,R
RepGarrett,R
DentPressShop,R
PatrickMcHenry,R
RepJohnYarmuth,D
RepAnnieKuster,D
louiseslaughter,D
JudgeCarter,R
RepJoeCourtney,D
RepSteveStivers,R
RepReneeEllmers,R
RepScottRigell,R
RepRickCrawford,R
PatrickMurphyFL,D
RepDaveCamp,R
RepSwalwell,D
RepKevinYoder,R
RepMcNerney,D
MarioDB,R
RepKenMarchant,R
JoeGarcia,D
RushHolt,D
DougLaMalfa,R
RepDerekKilmer,D
RepCuellar,D
RepLowenthal,D
RepDennyHeck,D
RepFincherTN08,R
RosLehtinen,R
RepJBridenstine,R
tomcoleok04,R
RodneyDavis,R
repsandylevin,D
RepTimGriffin,R
Robert_Aderholt,R
RepMaloney,D
RepMGriffith,R
HerreraBeutler,R
GregoryMeeks,D
RepSteveIsrael,D
RepChuck,R
