Twitter screen name,Politcal Party
alfranken,D
amyklobuchar,D
brianschatz,D
CantwellPress,D
ChrisCoons,D
ChrisMurphyCT,D
ChuckGrassley,R
ChuckSchumer,D
clairecmc,D
DavidVitter,R
elizabethforma,D
FrankLautenberg,D
GrahamBlog,R
InhofePress,R
JeffFlake,R
JerryMoran,R
JohnBoozman,R
JohnCornyn,R
jontester,D
KellyAyotte,R
lisamurkowski,R
marcorubio,R
MarkUdall,D
MarkWarner,D
MartinHeinrich,D
MaxBaucus,D
maziehirono,D
McConnellPress,R
Mike_Johanns,R
MikeCrapo,R
PattyMurray,D
robportman,R
RonWyden,D
RoyBlunt,R
SaxbyChambliss,R
Sen_JoeManchin,D
SenAlexander,R
SenAngusKing,I
SenatorBarb,D
SenatorBegich,D
SenatorBoxer,D
SenatorBurr,R
SenatorCardin,D
SenatorCarper,D
SenatorCollins,R
SenatorDurbin,D
SenatorEnzi,R
SenatorFischer,R
SenatorHagan,D
SenatorHarkin,D
SenatorHeitkamp,D
SenatorIsakson,R
SenatorKirk,R
SenatorLeahy,D
SenatorMenendez,D
SenatorReid,D
SenatorRisch,R
SenatorSessions,R
SenatorShaheen,D
SenatorTimScott,R
SenatorTomUdall,D
SenatorWicker,R
SenBennetCO,D
SenBillNelson,D
SenBlumenthal,D
SenBobCasey,D
SenBobCorker,R
SenCarlLevin,D
SenDanCoats,R
SenDeanHeller,R
SenDonnelly,D
SenFeinstein,D
SenGillibrand,D
SenJackReed,D
SenJeffMerkley,D
SenJohnBarrasso,R
SenJohnHoeven,R
SenJohnMcCain,R
SenJohnsonSD,D
SenJohnThune,R
SenLandrieu,D
SenMarkPryor,D
SenMikeLee,R
SenMoCowan,D
SenOrrinHatch,R
SenPatRoberts,R
SenRandPaul,R
SenRockefeller,D
SenRonJohnson,R
SenSanders,I
SenShelbyPress,R
SenSherrodBrown,D
SenTedCruz,R
SenThadCochran,R
SenToomey,R
SenWhitehouse,D
stabenow,D
tammybaldwin,D
timkaine,D
TomCoburn,R
